qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_span,area_persent,category,execution_time
0,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-6,-3,52,57,1.0,day,min,5,1,changing_area,1397.1262888908386
1,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-65,-62,98,103,1.0,day,max,5,1,changing_area,1324.9827480316162
2,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,67,70,49,54,1.0,day,mean,5,1,changing_area,1318.4286184310913
3,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,72,87,36,61,1.0,day,min,5,25,changing_area,1309.1018552780151
4,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,38,53,-46,-21,1.0,day,max,5,25,changing_area,1332.3311941623688
5,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,15,30,117,142,1.0,day,mean,5,25,changing_area,1306.5490882396698
6,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,1,26,-115,-85,1.0,day,min,5,50,changing_area,1302.2370405197144
7,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-8,17,70,100,1.0,day,max,5,50,changing_area,1325.0984346866608
8,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-16,9,-104,-74,1.0,day,mean,5,50,changing_area,1350.8602776527405
9,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-42,-17,-163,-103,1.0,day,min,5,100,changing_area,1323.6917188167572
10,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-26,-1,-136,-76,1.0,day,max,5,100,changing_area,1305.631728887558
11,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,12,37,111,171,1.0,day,mean,5,100,changing_area,1306.7619638442993
12,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,-25,0,-120,-60,1.0,day,min,1,100,changing_time,535.1375455856323
13,2m_temperature,2014-01-01 00:00:00,2014-12-31 23:00:00,-30,-5,-94,-34,1.0,day,max,1,100,changing_time,537.0734946727753
14,2m_temperature,2014-01-01 00:00:00,2014-12-31 23:00:00,-42,-17,-150,-90,1.0,day,mean,1,100,changing_time,536.3940160274506
15,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,36,61,118,178,1.0,day,min,5,100,changing_time,1305.548285484314
16,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-19,6,59,119,1.0,day,max,5,100,changing_time,1305.221711397171
17,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-79,-54,-58,2,1.0,day,mean,5,100,changing_time,-1.0
18,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,27,52,95,155,0.25,day,min,5,100,changing_spatial_res,1302.260425567627
19,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,21,46,116,176,0.25,day,max,5,100,changing_spatial_res,1304.2192730903625
20,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,16,41,-57,3,0.25,day,mean,5,100,changing_spatial_res,504.4674253463745
21,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-83,-58,-48,12,0.5,day,min,5,100,changing_spatial_res,-1.0
22,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-70,-45,-180,-120,0.5,day,max,5,100,changing_spatial_res,1312.646907567978
23,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,61,86,33,93,0.5,day,mean,5,100,changing_spatial_res,1303.3685290813446
24,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-55,-30,-94,-34,1.0,day,min,5,100,changing_spatial_res,1302.2801990509033
25,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,0,25,94,154,1.0,day,max,5,100,changing_spatial_res,1303.3979823589325
26,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,3,28,-34,26,1.0,day,mean,5,100,changing_spatial_res,-1.0
27,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-16,9,82,142,1.0,hour,min,5,100,changing_temporal_res,1322.4601607322693
28,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-27,-2,18,78,1.0,hour,max,5,100,changing_temporal_res,1325.9171617031097
29,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-25,0,16,76,1.0,hour,mean,5,100,changing_temporal_res,1355.097895860672
30,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-56,-31,-153,-93,1.0,day,min,5,100,changing_temporal_res,1301.4129610061646
31,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-70,-45,22,82,1.0,day,max,5,100,changing_temporal_res,1315.859040260315
32,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-89,-64,54,114,1.0,day,mean,5,100,changing_temporal_res,1328.1730117797852
33,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,-23,2,29,89,1.0,month,min,5,100,changing_temporal_res,1304.1302678585052
34,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-69,-44,-39,21,1.0,month,max,5,100,changing_temporal_res,-1.0
35,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-33,-8,20,80,1.0,month,mean,5,100,changing_temporal_res,1329.4416327476501
36,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-10,15,-4,56,1.0,year,min,5,100,changing_temporal_res,-1.0
37,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-34,-9,-6,54,1.0,year,max,5,100,changing_temporal_res,-1.0
38,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,-25,0,62,122,1.0,year,mean,5,100,changing_temporal_res,1312.6778590679169
39,2m_temperature,2016-01-01 00:00:00,2018-12-31 23:00:00,-61,-36,-126,-66,1.0,day,min,3,100,changing_time,920.5712776184082
40,2m_temperature,2014-01-01 00:00:00,2016-12-31 23:00:00,-85,-60,-20,40,1.0,day,max,3,100,changing_time,-1.0
41,2m_temperature,2015-01-01 00:00:00,2017-12-31 23:00:00,64,89,25,85,1.0,day,mean,3,100,changing_time,937.7228713035583
