sys,t_res,s_res,tr,ta,total_time,percent_area
TDB,hour,0.25,34.814393758773804,0.14969301223754883,34.96408677101135,1
TDB,hour,0.25,33.743447065353394,0.0002167224884033203,33.7436637878418,1
TDB,hour,0.25,33.3220579624176,0.00021982192993164062,33.322277784347534,1
TDB,hour,0.25,39.036855936050415,0.00023412704467773438,39.03709006309509,25
TDB,hour,0.25,34.18821978569031,0.00022292137145996094,34.18844270706177,25
TDB,hour,0.25,38.068716049194336,0.0002257823944091797,38.068941831588745,25
TDB,hour,0.25,40.6132926940918,0.000217437744140625,40.61351013183594,50
TDB,hour,0.25,40.02053785324097,0.00021529197692871094,40.020753145217896,50
TDB,hour,0.25,44.19069743156433,0.00022983551025390625,44.190927267074585,50
TDB,hour,0.25,45.15911555290222,0.00022649765014648438,45.15934205055237,100
TDB,hour,0.25,49.61070442199707,0.0002300739288330078,49.6109344959259,100
TDB,hour,0.25,55.043723344802856,0.00022530555725097656,55.04394865036011,100
TDB,year,0.25,33.523165464401245,0.027757883071899414,33.550923347473145,1
TDB,year,0.25,33.84299349784851,0.02415752410888672,33.8671510219574,1
TDB,year,0.25,33.31677269935608,0.07043337821960449,33.387206077575684,1
TDB,year,0.25,39.168596267700195,0.23952555656433105,39.408121824264526,25
TDB,year,0.25,34.52082371711731,0.23649907112121582,34.757322788238525,25
TDB,year,0.25,37.83251142501831,1.3886349201202393,39.22114634513855,25
TDB,year,0.25,40.19692778587341,0.455852746963501,40.652780532836914,50
TDB,year,0.25,39.73180818557739,0.4652118682861328,40.197020053863525,50
TDB,year,0.25,43.651283264160156,3.8368301391601562,47.48811340332031,50
TDB,year,0.25,44.557406425476074,0.8974013328552246,45.4548077583313,100
TDB,year,0.25,48.969908237457275,0.897712230682373,49.86762046813965,100
TDB,year,0.25,54.29903030395508,7.917744159698486,62.216774463653564,100
TDB,month,0.5,33.46715331077576,0.08837628364562988,33.55552959442139,1
TDB,month,0.5,33.732279777526855,0.08446025848388672,33.81674003601074,1
TDB,month,0.5,33.10129523277283,0.12681078910827637,33.2281060218811,1
TDB,month,0.5,38.934545040130615,0.3186194896697998,39.253164529800415,25
TDB,month,0.5,34.28891324996948,0.31835341453552246,34.607266664505005,25
TDB,month,0.5,37.738301515579224,1.1865885257720947,38.92489004135132,25
TDB,month,0.5,40.13533639907837,0.5991816520690918,40.73451805114746,50
TDB,month,0.5,39.37910866737366,0.5733604431152344,39.95246911048889,50
TDB,month,0.5,43.70710062980652,2.2170820236206055,45.924182653427124,50
TDB,month,0.5,44.57388424873352,1.0552303791046143,45.629114627838135,100
TDB,month,0.5,48.977500915527344,1.0810720920562744,50.05857300758362,100
TDB,month,0.5,54.11125135421753,4.424776315689087,58.536027669906616,100
TDB,hour,1.0,33.460365772247314,0.5763914585113525,34.03675723075867,1
TDB,hour,1.0,33.333131551742554,0.5770242214202881,33.91015577316284,1
TDB,hour,1.0,33.01669979095459,0.6166436672210693,33.63334345817566,1
TDB,hour,1.0,38.60208749771118,12.527099847793579,51.12918734550476,25
TDB,hour,1.0,33.92203712463379,12.428939819335938,46.35097694396973,25
TDB,hour,1.0,38.00083088874817,11.22059679031372,49.22142767906189,25
TDB,hour,1.0,39.73572516441345,24.97652816772461,64.71225333213806,50
TDB,hour,1.0,39.5725679397583,24.823730945587158,64.39629888534546,50
TDB,hour,1.0,43.5121386051178,27.0038001537323,70.5159387588501,50
TDB,hour,1.0,45.02201533317566,49.756118059158325,94.77813339233398,100
TDB,hour,1.0,49.34287643432617,49.220404386520386,98.56328082084656,100
TDB,hour,1.0,54.74101424217224,53.44023275375366,108.1812469959259,100
TDB,year,1.0,33.48286724090576,0.02728724479675293,33.510154485702515,1
TDB,year,1.0,33.61293172836304,0.026941537857055664,33.63987326622009,1
TDB,year,1.0,33.066972970962524,0.07495284080505371,33.14192581176758,1
TDB,year,1.0,38.66911220550537,0.2332911491394043,38.902403354644775,25
TDB,year,1.0,34.261518239974976,0.23338103294372559,34.4948992729187,25
TDB,year,1.0,37.99784827232361,1.508784294128418,39.506632566452026,25
TDB,year,1.0,40.25744915008545,0.4586491584777832,40.71609830856323,50
TDB,year,1.0,39.53565001487732,0.456989049911499,39.99263906478882,50
TDB,year,1.0,43.75050187110901,3.0328621864318848,46.783364057540894,50
TDB,year,1.0,44.241844177246094,0.9063117504119873,45.14815592765808,100
TDB,year,1.0,49.01199126243591,0.9013223648071289,49.91331362724304,100
TDB,year,1.0,54.50497627258301,8.170835494995117,62.675811767578125,100
