sys,t_res,s_res,filter_value,tr,ta,total_time
Polaris,hour,0.25,205,0.9197041988372803,0,0.9197041988372803
Polaris,hour,0.25,240,0.11610913276672363,0,0.11610913276672363
Polaris,hour,0.25,245,0.11677980422973633,0,0.11677980422973633
Polaris,hour,0.25,310,6.116337776184082,0,6.116337776184082
Polaris,hour,0.25,255,0.10353755950927734,0,0.10353755950927734
Polaris,hour,0.25,265,0.10433435440063477,0,0.10433435440063477
Polaris,hour,0.25,275,0.10510087013244629,0,0.10510087013244629
Polaris,hour,0.25,285,5.850488901138306,0,5.850488901138306
Polaris,hour,0.25,295,5.950073957443237,0,5.950073957443237
Polaris,hour,0.25,205,0.10278844833374023,0,0.10278844833374023
Polaris,hour,0.25,240,0.10409688949584961,0,0.10409688949584961
Polaris,hour,0.25,245,0.10666823387145996,0,0.10666823387145996
Polaris,hour,0.25,310,6.034463405609131,0,6.034463405609131
Polaris,hour,0.25,255,0.10266494750976562,0,0.10266494750976562
Polaris,hour,0.25,265,0.10422039031982422,0,0.10422039031982422
Polaris,hour,0.25,275,0.10578107833862305,0,0.10578107833862305
Polaris,hour,0.25,285,5.835010766983032,0,5.835010766983032
Polaris,hour,0.25,295,5.725134611129761,0,5.725134611129761
Polaris,hour,0.25,205,0.10212230682373047,0,0.10212230682373047
Polaris,hour,0.25,240,0.10536789894104004,0,0.10536789894104004
Polaris,hour,0.25,245,0.1067357063293457,0,0.1067357063293457
Polaris,hour,0.25,310,6.052138090133667,0,6.052138090133667
Polaris,hour,0.25,255,0.10372424125671387,0,0.10372424125671387
Polaris,hour,0.25,265,0.10337066650390625,0,0.10337066650390625
Polaris,hour,0.25,275,0.10643124580383301,0,0.10643124580383301
Polaris,hour,0.25,285,5.850355386734009,0,5.850355386734009
Polaris,hour,0.25,295,5.9622437953948975,0,5.9622437953948975
Polaris,hour,1.0,205,0.10144829750061035,0,0.10144829750061035
Polaris,hour,1.0,240,0.10517358779907227,0,0.10517358779907227
Polaris,hour,1.0,245,0.10518360137939453,0,0.10518360137939453
Polaris,hour,1.0,310,6.0653698444366455,0,6.0653698444366455
Polaris,hour,1.0,255,0.10196208953857422,0,0.10196208953857422
Polaris,hour,1.0,265,0.10490226745605469,0,0.10490226745605469
Polaris,hour,1.0,275,0.10567593574523926,0,0.10567593574523926
Polaris,hour,1.0,285,5.841884613037109,0,5.841884613037109
Polaris,hour,1.0,295,5.94376015663147,0,5.94376015663147
Polaris,hour,1.0,205,0.10270380973815918,0,0.10270380973815918
Polaris,hour,1.0,240,0.10393786430358887,0,0.10393786430358887
Polaris,hour,1.0,245,0.10489845275878906,0,0.10489845275878906
Polaris,hour,1.0,310,6.061670780181885,0,6.061670780181885
Polaris,hour,1.0,255,0.1033327579498291,0,0.1033327579498291
Polaris,hour,1.0,265,0.10303521156311035,0,0.10303521156311035
Polaris,hour,1.0,275,0.10693693161010742,0,0.10693693161010742
Polaris,hour,1.0,285,5.833069801330566,0,5.833069801330566
Polaris,hour,1.0,295,5.952648639678955,0,5.952648639678955
Polaris,hour,1.0,205,0.10243391990661621,0,0.10243391990661621
Polaris,hour,1.0,240,0.1027991771697998,0,0.1027991771697998
Polaris,hour,1.0,245,0.10570311546325684,0,0.10570311546325684
Polaris,hour,1.0,310,6.06856107711792,0,6.06856107711792
Polaris,hour,1.0,255,0.10285210609436035,0,0.10285210609436035
Polaris,hour,1.0,265,0.10444092750549316,0,0.10444092750549316
Polaris,hour,1.0,275,0.1050868034362793,0,0.1050868034362793
Polaris,hour,1.0,285,5.843895435333252,0,5.843895435333252
Polaris,hour,1.0,295,5.964061737060547,0,5.964061737060547
